ID,NOMBRE,NUM INTERSECCIONES
14073926,OCHARAN,6
14073934,CA. SAN MARTIN,10
14073942,CRISTOBAL COLON,9
14074051,LOS PINOS,4
14074056,FELIX OLCAY,5
14074399,JOSÉ GONZALES,12
14074486,JUAN FANNING,10
14074512,COMANDANTE ARISTIDES ALJOVIN,6
14074529,DIEGO FERRE,3
14074592,BUENOS AIRES,2
14074758,AV RICARDO PALMA,6
14074796,ERNESTO DIEZ CANSECO,3
14074831,ERNESTO DIEZ CANSECO,3
14076594,GUARDIA CHALACA,1
14076698,PLAZA GARIBALDI,8
14076940,CUZCO,9
14076942,MONTEAGUDO,6
14076943,NICHOLAS DE PIEROLA,10
14077002,MONTEZUMA,10
14077076,ZEPITA,12
14077168,CASTILLA,2
14077276,AYACUCHO,12
14077338,MIROQUESADA,15
14077377,MANUEL RAIGADA,11
14096352,CONQUISTADORES,20
14096487,LOS LIBERTADORES,8
14103088,LLANO ZAPATA,5
14103104,MARISCAL SUCRE,7
14103110,VANDERGHEN,5
14175423,AV. OSCAR RAUL BENAVIDES,14
14341802,RIO BRANCO,9
14341810,SAO PAULO,11
14341811,SANTA FE,11
14342251,PROL.ARENALES,4
14342260,DE LOS INCAS,8
14342367,LUIS FELIPE VILLARAN,6
14342431,CHICLAYO,11
14342450,JOSÉ PARDO,11
14342452,AV. COMANDANTE ESPINAR,13
14342470,ALFREDO LEON,2
14342476,GONZALES PRADA,3
14343851,MALLECON DE LA RESERVA,5
14343873,ALCANFORES,15
14386583,CALLE SAN IGNACIO DE LOYOLA,4
14386631,ACACIAS,1
14386675,ACACIAS,4
14386726,SAN EGNACIO DE LOYOLA,3
14386816,MELITON PORRAS,6
14386828,AVENIDA ARMENDARIZ,9
14387120,CIRCUITO DE PLAYAS,6
16628936,TEODORO CÁRDENAS,9
16629110,DOMIGO CUETO,3
16629194,JR. BELIZARIO FLORES,1
16629237,MANUEL CANDAMO,12
17482584,JOSE CARLOS MARIATEGUI,12
17503330,JOSE CARLOS MARIATEGUI,18
17503331,JOSE CARLOS MARIATEGUI,6
17503365,BURGOS,2
17576094,ANDRES AVELINO CACERES,32
17580114,CALLE 8,8
17622428,JAVIER PRADO ESTE,9
17624222,AV. CAJAMARQUILLA,22
19070118,QUEBRADA DE ARMENDARIZ,4
19070256,ITALIA,4
19070275,TRIPOLI,4
19070302,PLAZA BOLOGNESI,12
19070308,JR BOLOGNESI,5
19070316,FRANCIA,7
19070397,MIGUEL GRAU,8
19070430,VICTOR VAJARDO,2
19070444,FEDERICO RECAVARREN,9
19070449,MADRID,2
19070497,MADRID,3
19070525,MARTIN NAPANGA,3
19071125,JOSE GALVEZ,15
19071179,DE LA AVIACION,11
19071223,RAMON ZAVALA,4
19071516,JOSÉ PARDO,3
19072144,JR. SALAVERRY,9
19072150,JIRÓN SAENZ PEÑA,6
19072193,OVALO INDEPENDENCIA,7
23804596,C. GRIMALDO DE SOLAR,11
23804800,PASEO PARODI,2
23804809,JR. OCOÑA,5
23804813,CORONEL INCLAN,10
23804816,INDEPENDENCIA,10
23843769,RAMON REBEYRO,14
23843770,J. FELIX OLCAY,3
23843771,VARGAS MACHUCA,8
23843773,ATAHUALPA,7
23979521,2 DE MAYO,14
24252020,TARAPACA,5
24252035,HERRERA,2
24252044,BELLIDO,3
24252048,LOS ANGELES,4
24252049,GARCIA CALDERON,4
24252056,GENERAL BORGOÑO,4
24252064,TERUEL,4
24252072,ANDALUCIA,5
24252074,ASUNCION,1
24252077,SANTANDER,4
24252082,SANTA MARIA,3
24252085,SANTA MARIA,1
24252086,HERRERA,2
24252088,DANIEL ALCIDES CARRION,2
24252092,ENRIQUE MEIGGS,2
24252095,ANGAMOS ESTE,3
24252105,ARICA,14
24252106,CARRION,1
24252111,LARCO HERRERA,1
24252115,E. DE HARBICH,2
24252120,LINO ALARCO,2
24252166,FRANCISCO PARDO Y ALIAGA,5
24252169,GENERAL IGLESIAS,8
24252172,ALMIRANTE LORD COCHRANE,6
24252176,FRANCISCO PARDO Y ALIAGA,7
24252183,DE LA TORRE GONZALES,4
24252187,ALBERTO ARCA PARRO,3
24252211,SAN ALEJANDRO,1
24252252,ESQUILACHE,3
24252255,GERVASIO SANTILLANA,4
24252258,CHUMBLONGO,3
24252259,TELLO,3
24252261,JOSE PAYAN,1
24252268,CORONEL INCLAN,1
24252274,DOMINGO ORUE,4
24252276,DOMINGO ORUE,1
24252279,DOMINGO ORUE,1
24252291,GENERAL SUAREZ,16
24252299,DOMINGO ORUE,7
24252307,AV. ARAMBURÚ,10
24252309,AV. ARAMBURÚ,1
24252315,AV. ARAMBURÚ,6
24252316,AV. ARAMBURÚ,1
24252353,RECAVARREN,8
24252372,CA. SCHELL,8
24252389,PASEO DE LA REPUBLICA,1
24252390,AV RICARDO PALMA,1
24252391,AV RICARDO PALMA,1
24252394,AV RICARDO PALMA,1
24252395,AV RICARDO PALMA,4
24252422,SALAVERRY,15
24252441,JUNIN,14
24252442,LIZARDO MONTERO,11
24252452,SANTA ROSA,13
24252454,DANTE,14
24252457,JUNIN,1
24252467,VELARDE,13
24252470,PORTOCARRERO,4
24252472,MOROCOCHA,2
24252478,RECAVARREN,6
24252513,SAN LORENZO,1
24252517,CARMEN,13
24252520,SAN AUGUSTIN,11
24252524,GONZALES PRADA,11
24252525,LEONCIO PRADO,5
24252526,LEONCIO PRADO,5
24252529,SAN DIEGO,7
24252544,LEONCIO PRADO,4
24252546,INCA,3
24252562,INCA,10
24252565,SAN MIGUEL,14
24252583,GONZALES PRADA,1
24252584,GONZALES PRADA,1
24252586,PASEO DE LA REPÚBLICA,21
24252591,CACERES,6
24252608,ANGAMOS ESTE,1
24252610,ANGAMOS ESTE,12
24252615,ANGAMOS ESTE,1
24252674,VIDAL,3
24252758,CIPRIANO AGUERO,1
24252759,PIURA,1
24252761,PIURA,9
24252765,GENERAL BORGOÑO,1
24252777,JR. HUALLAGA,16
24252780,JR. ICA,3
24252786,ANTONIO MIRÓ QUESADA,7
24252788,JR. AZAGARO,14
24252800,CARABAYA,1
24252801,JR. CAMANÁ,10
24252802,JR. CAILLOMA,8
24252803,JR. RUFINO TORRICO,10
24252809,TENIENTE ENRIQUE PALACIOS,5
24252810,TORRE TAGLE,1
24252811,PIURA,7
24252812,ROSARIO,4
24252814,ROSARIO,3
24252815,CHACLTANA,3
24252816,TORRE TAGLE,6
24252817,JOSÉ PARDO,11
24252819,BERLIN,5
24252821,BELLAVISTA,5
24252822,LIBERTAD,2
24252823,CAMINO,2
24252824,HENRY REVETT,3
24252825,LIBERTAD,2
24252826,ROMA,3
24252827,ROMA,3
24252829,COMANDANTE JUAN G MOORE,2
24252832,CMDTE. JUAN G MOORE,2
24252833,MANUAL A. SEGURA,2
24252834,CALERO,1
24252835,TUPAC AMARU,3
24252838,ALMIRANTE CARBAJAL,3
24252839,GONZALES VIGIL,1
24252846,JOSÉ PARDO,3
24252847,FIGUAREDO,3
24252848,FIGUAREDO,1
24266516,MENDIBURU,12
24266526,GENERAL CÓRDOVA,13
24266528,BERNARDO ALCEDO,5
24266531,TORRE UGARTE,6
24266535,MANUEL TOVAR,6
24266542,JOAQUIN CAPELO,7
24266556,TORIBIO PACHECO,6
24266567,8 DE OCTUBRE,4
24266583,JOSÉ TORÍBIO POLO,6
24266584,CONTRALMIRANTE VILLAR,4
24266587,EJERCITO,6
24266589,FEDERICO VILLAREAL,1
24266590,FEDERICO VILLAREAL,1
24266592,FEDERICO VILLAREAL,3
24266594,ESPEJO,4
24266595,MARIANO MELGAR,5
24266596,BELÉN,4
24266597,JOSÉ DOMINGO CHOQUEHUANCA,5
24266598,JORGE POLAR,4
24266599,AV. PEREZ ARANÍBAR (EX AV. DEL EJÉRCITO),32
24266605,TRIANA,2
24266606,ALMIRANTE LORD NELSON,2
24266621,ALMIRANTE LORD NELSON,2
24266625,PARQUE MORA,1
24266632,GENERAL JOSÉ QUIÑONES,3
24266644,ANGAMOS OESTE,8
24266674,BLAS CERDEÑA,7
24266686,CONTRALMIRANTE VILLAR,1
24266688,CONTRALMIRANTE VILLAR,1
24266695,CONTRALMIRANTE VILLAR,2
24266700,7 DE JUNIO,2
24266701,BERLIN,1
24266702,JOSÉ PARDO,2
24266709,RETIRO,2
24266734,MIGUEL DASSO,2
24266736,ULLOA,3
24266743,ALVAREZ CALDERON,11
24266749,YEROVI,3
24266751,FRANCISCO EGUIGUREN,4
24266754,DAVID SAMANEZ,2
24266758,GENERAL CLEMENTE,2
24266759,MANUEL GONZALES OLAECHEA,1
24266771,GRAÑA,3
24266773,JACINTO LARA,4
24266775,ALFEREZ ALFREDO SALAZAR,2
24266776,SANTA TERESITA,3
24266778,SANTA MARGARITA,3
24266786,BELÉN,5
24266790,PEREZ ARANIBAR,44
24266810,AV. DEL EJERCITO,4
24266815,ROMANET,4
24266855,AVENIDA CORONEL PORTILLO,9
24266861,PEZET,13
24266868,OCTAVIO ESPINOZA,1
24266871,OCTAVIO ESPINOZA,3
24266874,OCTAVIO ESPINOZA,3
24266876,OCTAVIO ESPINOZA,2
24266884,FRANCISCO VALLE RIESTA,5
24266888,GENERAL LA LA FUENTE,3
24266891,MANUEL MARCOS SALAZAR,4
24266898,JUAN DELLEPIANI,10
24266916,BALTAZAR LA TORRE,4
24266954,PUNTA NEGRA,10
24266957,GODOFREDO GARCIA,1
24266962,CABO BLANCO,5
24266974,CALLE A,3
24266985,AURELIO MIRO QUESADA,6
24266986,ALBERTO DEL CAMPO,6
24267007,ALBERTO DEL CAMPO,6
24267010,LOS MANZANOS,8
24267013,FRANCISCO VALLE RIESTA,6
24267015,BALTAZAR LA TORRE,4
24267018,AUGUSTO BOLOGNESI,6
24267031,AVENIDA SALAVERRY,39
24267032,AVENIDA SALAVERRY,50
24267057,LAS MORERAS,4
24267058,JOSE GRANDA,3
24267060,JUAN NORBERTO ELESPURU,5
24267068,LOS CASTAÑOS,1
24267077,LOS EUCALIPTOS,6
24267080,LOS EUCALIPTOS,2
24267086,AVENIDAD JORGE BASADRE,13
24267091,CAMINO REAL,8
24267094,NICOLAS DE RIVERA,7
24267116,LOS LAURELES,5
24267118,LOS NOGALES,7
24267123,LOS CEDROS,8
24267124,LOS ROBLES,4
24267127,EL ROSARIO,5
24267129,EL ROSARIO,5
24267133,LOS ALAMOS,3
24267137,SALAMANCA,2
24267146,FRANCISCO DE ZELA,2
24267148,SANTO TORIBIO,4
24267170,SANTO TORIBIO,5
24281794,MERINO,2
24281795,GARCIA Y GARCIA,4
24281798,EL BOSQUE,6
24281799,DANIEL HERNANDEZ,4
24281800,TRADICIONES,2
24281812,MANCHAY PUITO,3
24281818,LUIS FELIPE VILLARAN,5
24281825,LUIS FELIPE VILLARAN,3
24281830,RIO DE LA PLATA,6
24281836,REPUBLICA DE COLOMBIA,4
24281843,REPUBLICA DE COLOMBIA,3
24281844,FEDERICO VILLAREAL,8
24281850,LAS CAMELIAS,8
24281857,SEBASTIAN TELLERIA,5
24281858,CHINCHON,9
24281860,ANTEQUERA,3
24281862,ANTEQUERA,2
24281864,MIGUEL SEMINARIO,4
24281865,IQUITOS,21
24281867,LOS LIRIOS,2
24281868,AMADOR MERINO REYNA,5
24281869,DE LAS CASAS,2
24281871,VIRREY TOLEDO,4
24281887,LA PERRICHOLI,1
24281890,SAN MARTIN DE PORRES,10
24281895,CANAVAL Y MOREYRA,10
24281898,RICARDO RIVERA NAVARRETE,14
24281900,LAS BEGONIAS,6
24281903,CHINCHON,2
24281904,EL PARQUE,2
24281906,ANTEQUERA,2
24294969,CANAVAL Y MOREYRA,11
24294980,FRANCISCO MASIAS,8
24294983,AVENIDA JAVIER PRADO OESTE,21
24294991,JAVIER PRADO ESTE,2
24295062,AV. 2 DE MAYO,18
24295065,LOS CASTAÑOS,4
24295070,ROMA,5
24295071,BARCELONA,6
24295072,LOS LAURELES,3
24295073,THOMAS EDISON,4
24295075,BURGOS,7
24295077,GUILLERMO MARCONI,8
24295082,LUIS PASTEUR,3
24295084,LOS ROBLES,1
24295085,LOS CEDROS,4
24295088,MANCO SEGUNDO,6
24295089,JUAN BIELOVICIC,2
24295091,ALMIRANTE MANUEL VILLAVICENCIO,9
24295096,LOS ALAMOS,3
24295097,TUPAC AMARU,2
24295099,CAPAC YUPANQUI,1
24295104,CADIZ,5
24295136,ALMIRANTE MARTIN GUISSE,16
24295137,LOS PINOS,3
24295139,JR. MARISCAL WILLIAM MILLER,8
24295141,LOS OLIVOS,1
24295142,AVENIDA ALVAREZ DE ARENALES,31
24295146,JOSE DE LA TORRE UGARTE,7
24295163,LOS JAZMINES,5
24295167,LOS GERANIOS,4
24295168,LAS BEGONIAS,3
24295174,LOS MIRTOS,5
24295187,DOMINGO CASANOVA,5
24295188,PERCY GIBSON MOLLER,4
24295193,IGNACIO MERINO,1
24295204,MILITAR,10
24295214,FRANCISCO LAZO,5
24295240,JOSÉ GÁLVEZ,21
24295244,AVENIDA CUBA,16
24295246,TOMÁS GUIDO,14
24295250,MARISCAL LAS HERAS,6
24295252,RISSO,8
24295254,BERNARDO ALCEDO,11
24295264,AV. GRAL. CÉSAR CANEVARO,18
24295265,JOSE PARDO DE ZELA,12
24305051,LAS ORQUIDEAS,3
24305094,JR. EMILIO ALTHAUS,11
24305223,GENERAL CÓRDOBA,2
24305273,JOAQUIN BERNAL,6
24305282,JR. GRAL. JOSÉ MARIA CORDOVA,3
24305286,FRANCISCO DE ZELA,9
24305294,JR. GARCILLASO DE LA VEGA,3
24305304,JR. JOZÉ PEZET Y MONEL,5
24305315,MAMA OCLLO,3
24305317,SINCHI ROCA,5
24305329,JR. MANCO SEGUNDO,1
24305339,PACHACUTEC,4
24305341,SINCHI ROCA,2
24305342,JR. MAMA OCLLO,1
24305345,JR. BRIGADIER MATEO PUMACAHUA,2
24305349,PASAJE CHASQUI,2
24305355,PASAJE CHASQUI,1
24305362,PASAJE QUILLA,1
24305365,JR. CÁPAC YUPANQUI,8
24305370,GARCILLASO DE LA VEGA,5
24305379,MARISCAL MILLER,9
24305391,AVENIDA EDGARDO REBAGLIATI,8
24305399,DOMIGO CUETO,5
24305428,MEXICO,31
24305471,SAN ROBERTO,3
24306225,JIMENEZ,5
24306227,PUNTA NEGRA,4
24306245,CALLE 4,1
24306246,CALLE 3,1
24306247,CALLE 2,1
24306256,SORIA,1
24306267,ALBERTO YABAR,1
24306278,FELIX DIBOS,6
24306289,JUAN ANTONIO PEZET,4
24306295,MALECON BERNALES,2
24306300,BERNARDO MONTEAGUDO,6
24306309,JOSE DE ACOSTA,1
24306310,LEON DE LA FUENTE,1
24306314,JOSE DE ACOSTA,1
24306322,GREGORIO ESCOBEDO,7
24306325,JOSÉ G. COSSIO,5
24306326,JUAN DE ALIAGA,4
24306329,CARLOS BACA FLOR,1
24306331,JUSTO AMADEO VIGIL,6
24306337,TRUJILLO,12
24306342,MIGUEL SOTO VALLE,7
24306346,BACA FLOR,1
24306347,MONADANTE AUGUSTO JIMENEZ,2
24306352,NICANOR ROCA DE VERGALLO,9
24306361,FLORA TRISTAN,8
24306365,JUAN NOLBERTO ELESPURU,4
24306381,JUAN MANUEL POLAR,2
24306385,JUAN MANUEL POLAR,2
24306424,GUARDIA CHALACA,1
24306464,FRANCISCO GRAÑA,6
24306466,TOMAS RAMSEY,11
24306492,MARIA PARADO DE BELLIDO,2
24306499,BONNEMAISON,5
24306502,GONZALES PRADA,7
24306516,ANTONIO RAIMONDI,3
24306518,MALECON MIGUEL GRAU,3
24306521,VICTOR LARCO HERRERA,13
24306524,UNANUE,2
24306526,LIDIO MONGILARDI,1
24306538,HONORIO DELGADO,4
24306545,JOSÉ MARÍA EGUREN,2
24306553,MARIATEGUI,2
24306554,VALLEJO,2
24306555,SALAZAR BONDI,1
24306559,DOMINGO PONTE,8
24306561,JIRÓN ARICA,6
24306573,ALONSO RIQUELME,10
24306580,RODOLFO RUTTE,4
24306583,JIRÓN REY BASADRE,6
24306585,JIRÓN DANIEL CARRIÓN,5
24306590,DANIEL HERNANDEZ,8
24306591,DOMINGO PONTE,3
24306593,RODOLFO RUTTE,5
24306606,DANIEL ALCIDES CARRION,5
24306635,VÍCTOR LARCO HERRERA,5
24306643,GONZALES PRADA,7
24306644,FRANCISCO GRAÑA,3
24306648,FRANCISCO GRAÑA,2
24306662,PUNTA DEL ESTE,2
24306707,DE LA POLICIA,8
24306717,CARACAS,4
24306737,HAITI,1
24306744,SANTO DOMINGO,5
24306749,MARACAIBO,1
24306755,ESTADOS UNIDOS,1
24306756,CARIBE,1
24306765,DIEGO DE ALMAGRO,13
24306768,CARACAS,3
24306775,ESTADOS UNIDOS,9
24306779,ARAOZ Y CASTILLA,1
24306780,LOS PATRICIOS,2
24306789,NICARAGUA,2
24306791,COSTA RICA,2
24306795,RIO DE JANEIRO,8
24306827,GERONIMO DE ALIAGA,2
24306842,AVENIDA ARNALDO MÁRQUEZ,29
24306846,PASAJE CARACAS,1
24306847,QUITO,1
24306854,CARACAS,2
24306855,QUITO,2
24306856,COCHABAMBA,1
24306861,SANTIAGO,2
24306907,AVENIDA GENERAL GARZON,23
24306946,SAN FELIPE,17
24306957,LUIS N. SAENZ,5
24306960,AVENIDA HORACIO URTEAGA,22
24306971,DANIEL OLAECHEA,3
24306975,HUASCAR,10
24306982,GIUSEPPE GARIBALDI,3
24306989,INCA RIPAC,2
24306995,SAENZ,1
24306996,HUIRACOCHA,16
24307018,HUAMACHUCO,10
24307023,OCTAVIO BERNAL,3
24307035,CA. OLAVEGOYA,4
24307036,CA. OLAVEGOYA,5
24307044,AV. CAYETANO HERIDA,2
24307048,AVENIDA RICARDO TIZON Y BUENO,10
24307050,HUIRACOCHA,1
24307071,AVENIDA HUSARES DE JUNIN,17
24307103,AVENIDA FRANCISCO JAVIER MARIÁTEGUI,20
24307144,LLOQUE YUPANQUI,11
24307146,MARISCAL TORIBIO LUZURIAGA,8
24307155,HUASCAR,6
24307158,DIEZ CANSECO,2
24307162,REPÚBLICA DOMINICANA,5
24307193,AVENIDA CUBA,4
24307200,AVENIDA CUBA,4
24307203,PACHACUTEC,8
24307207,HUAYNA CAPAC,3
24307217,CUBA,10
24307224,SINCHI ROCA,5
24307225,CAHUIDE,3
24307227,DOMINGO MILLAN,3
24307229,MATEO PUMACAHUA,4
24307231,MAYTA CAPAC,1
24307235,GENERAL SANTA CRUZ,6
24307290,MAYTA CAPAC,5
24307294,MATEO PUMACAHUA,4
24307307,PACHACUTEC,2
24307318,JOSE MARIA PLAZA,4
24307324,HUAYNA CAPAC,2
24307328,GENERAL SANTA CRUZ,3
24307362,GENERAL SANTA CRUZ,3
24307372,GENERAL CANTERAC,5
24307396,TALARA,9
24307433,LOS MOGABUROS,4
24307458,RIVERO USTARIZ,2
24307561,AVENIDA CUBA,17
24307567,CAPAC YUPANQUI,4
24307569,FRANCISCO DE ZELA,1
24307574,ALMIRANTE GUISSE,7
24307580,GENERAL JOSÉ MARIA CORDOVA,5
24307598,CAMILO CARRILLO,3
24307610,AVENIDA REPUBLICA DE CHILE,6
24307623,MAXIMO ABRIL,2
24307626,MAXIMO ABRIL,2
24307635,LARRABURE Y UNANUE,9
24307646,RAMÓN DAGNINO,4
24307660,NATALIO SANCHEZ,4
24307671,CORONEL PASCUAL SACO OLIVEROS,5
24307868,MANUEL NICOLAS CORPANCHO,4
24315545,MALECON DE LA RESERVA,11
24315546,MALECON DE LA RESERVA,1
24315549,MALECON DE LOS FRANCESES,4
24315608,MALECON 28 DE JULIO,1
24315662,MANUEL BONILLA,2
24315663,ESPERANZA,3
24315666,ERNESTO DIEZ CANSECO,6
24315669,CANTUARIAS,4
24315670,PSJ. TELLO,2
24315671,PASEO DE LA REPUBLICA,1
24315675,NARCISO DE LA COLINA,4
24315678,LEONCIO PRADO,2
24315744,BOLIVAR,5
24315745,PSJ SUCRE,1
24315747,PSJ. SAN MARTIN,1
24315749,SANTA ISABEL,4
24315751,SAN FERNANDO,8
24315753,REDUCTO,8
24315764,REDUCTO,1
24315768,LEONIDAS AVENDANIO,1
24315769,ACACIAS,2
24315770,SAMUEL MARQUEZ,2
24315771,RETES,2
24315773,TEJADA,1
24315783,28 DE JULIO,1
24315794,AV. 28 DE JULIO,6
24315805,BENAVIDES,1
24315806,BENAVIDES,1
24315810,OVALO LOS CABITOS,12
24315812,BENAVIDES,1
24315813,BENAVIDES,1
24315814,BENAVIDES,1
24315819,AVENIDA ALFREDO BENAVIDES,24
24315832,ALFREDO BENAVIDES,8
24315836,AVENIDA ALFREDO BENAVIDES,26
24315868,BARTOLOME TRUJILLO,5
24315907,RAMON REBEYRO,2
24315940,CASIMIRO ULLOA,5
24315952,ROCA Y BOLONA,13
24315984,ORTIZ DE SAVALLO,2
24315985,FERNANDEZ,2
24315986,JARA,1
24315987,ALCOCER,1
24315990,ENRIQUE DEL CAMPO,2
24315991,MARTIN DULANTE,1
24315992,R TRUJILLO,3
24315993,BARTOLOME TRUJILLO,1
24315994,BARTOLOME TRUJILLO,1
24315995,ARIAS ARAGUEZ,8
24315996,FRANCISO DE PAULA UGARRIZE,11
24315998,SAN ANTONIO,1
24315999,AV RICARDO PALMA,9
24316000,AV RICARDO PALMA,8
24316010,FRANCISCO DE CASTILLO,7
24316013,MIOTA,5
24316032,ENRIQUE DEL HORME,2
24316034,DULANTO,2
24316035,SASONE,3
24316062,QUEBRADA DE ARMENDARIZ,4
24316072,REDUCTO,5
24316073,REDUCTO,1
24316078,REDUCTO,2
24331950,GENERAL ERNESTO MONTANE,7
24331955,PAUL RIVET,5
24331959,GENARO CASTRO IGLESIAS,13
24331960,PEDRO VENTURO,9
24331964,RAMON CASTILLA,2
24331966,RAMON CASTILLA,2
24331968,LOLA PARDO,2
24331971,LOLA PARDO,4
24331975,MANUEL ALMENARA,10
24331977,PAUL RIVET,1
24331979,PAUL RIVET,1
24331985,COSTA RICA,1
24331988,GUATEMALA,1
24331996,25 DE MAYO,4
24332001,VILLEGAS,1
24332003,ANGULO,1
24332007,MANUEL VILLARAN,1
24332010,MANUEL VILLARAN,1
24332019,MAYOR ARCE DE LA OLIVA,5
24332023,ACUNA,1
24332025,CMDT. J. ROMAN,1
24332029,JUAN JOSE CALLE,7
24332061,SERGIO BERNALES,8
24332076,SERGIO BERNALES,5
24332100,VICTOR OLEACHEA,4
24332104,VICTOR MAURTUA,1
24332120,ALEJANDRO DEUSTUA,8
24332130,BRENT,2
24332162,PACAYAR,2
24332171,SAN LORENZO,7
24332203,SAN FELIPE,15
24332204,FERNANDO ALZAMORA,9
24332205,RIZO PATRON,2
24332210,JULIAN SANDOVAL,2
24332215,SAN CARLOS,8
24332223,SANTA INES,4
24332224,GOMEZ,4
24332226,DURAND,3
24332263,SAN CARLOS,2
24332264,EL CARMEN,10
24332265,SANTA LUCIA,1
24332267,SAN FERNANDO,8
24332309,SAN LORENZO,4
24332322,SAN LORENZO,3
24332409,DEL PARQUE SUR,25
24332414,AV. ARAMBURÚ,13
24332449,HALCONES,5
24332454,LOS PAUJILES,4
24332455,LAS GAVIOTAS,3
24332457,LAS TORCAZAS,1
24332465,C. LAS PERDICES,8
24332466,NEGOCIOS,2
24332531,PASEO DE LA REPÚBLICA,17
24332559,LAS PALOMAS,10
24332562,LAS GARZAS,5
24332584,LOS CANARIOS,1
24332601,LOS FIAISANES,4
24332612,PROLONGACION LOS CUCULIES,3
24332614,LOS QUETZALES,2
