ID,ID CALLE,NOMBRE,ID ORIGEN, ID DESTINO,ORIGEN, DESTINO,DISTANCIA KM,VELOCIDAD KM/H,COSTO,COSTO INVERSO,LATITUD ORIGEN,LONGITUD ORIGEN,LATITUD DESTINO,LONGITUD DESTINO
806,4832890,AV. UNIVERSITARIA,1305701493,1305701365,47824,47802,0.0219292,70,0.0003133,1000000,-11.94309,-77.0606328,-11.9432842,-77.0606679
807,4832890,AV. UNIVERSITARIA,1305701365,31080523,47802,48066,0.0335377,70,0.0004791,1000000,-11.9432842,-77.0606679,-11.9435812,-77.0607216
808,4832890,AV. UNIVERSITARIA,31080523,1305701192,48066,48085,0.1420213,70,0.0020289,1000000,-11.9435812,-77.0607216,-11.9448526,-77.0608319
809,4832890,AV. UNIVERSITARIA,1305701192,1305701867,48085,48112,0.0233371,70,0.0003334,1000000,-11.9448526,-77.0608319,-11.9450624,-77.0608262
810,4832890,AV. UNIVERSITARIA,1305701867,1305701765,48112,47909,0.0296994,70,0.0004243,1000000,-11.9450624,-77.0608262,-11.9453294,-77.060819
811,4832890,AV. UNIVERSITARIA,1305701765,769223680,47909,2679,0.0674475,70,0.0009635,1000000,-11.9453294,-77.060819,-11.9459338,-77.0607686
812,4832890,AV. UNIVERSITARIA,769223680,769223702,2679,2682,0.0164298,70,0.0002347,1000000,-11.9459338,-77.0607686,-11.9460812,-77.0607581
813,4832890,AV. UNIVERSITARIA,769223702,1305701559,2682,47916,0.046042,70,0.0006577,1000000,-11.9460812,-77.0607581,-11.9464924,-77.0607084
814,4832890,AV. UNIVERSITARIA,1305701559,1305701931,47916,47777,0.0431386,70,0.0006163,1000000,-11.9464924,-77.0607084,-11.9468767,-77.0606541
815,4832890,AV. UNIVERSITARIA,1305701931,1305701202,47777,48062,0.0237119,70,0.0003387,1000000,-11.9468767,-77.0606541,-11.9470866,-77.0606158
816,4832890,AV. UNIVERSITARIA,1305701202,1273122767,48062,23909,0.0878092,70,0.0012544,1000000,-11.9470866,-77.0606158,-11.9478695,-77.0605112
817,4832890,AV. UNIVERSITARIA,1273122767,1305701026,23909,47834,0.735823,70,0.0105118,1000000,-11.9478695,-77.0605112,-11.9544605,-77.0600231
818,4832890,AV. UNIVERSITARIA,1305701026,1305701189,47834,48093,0.0199744,70,0.0002853,1000000,-11.9544605,-77.0600231,-11.9546401,-77.0600195
819,4832890,AV. UNIVERSITARIA,1305701189,769223683,48093,2741,0.0744922,70,0.0010642,1000000,-11.9546401,-77.0600195,-11.9553099,-77.0600063
820,4832890,AV. UNIVERSITARIA,769223683,31080530,2741,2748,0.0155343,70,0.0002219,1000000,-11.9553099,-77.0600063,-11.9554496,-77.060005
821,4832890,AV. UNIVERSITARIA,31080530,1305701215,2748,47822,0.0814751,70,0.0011639,1000000,-11.9554496,-77.060005,-11.9561753,-77.0601005
822,4832890,AV. UNIVERSITARIA,1305701215,1305702148,47822,47967,0.022854,70,0.0003265,1000000,-11.9561753,-77.0601005,-11.9563756,-77.0601476
823,4832890,AV. UNIVERSITARIA,1305702148,1305702077,47967,48057,0.5053093,70,0.0072187,1000000,-11.9563756,-77.0601476,-11.9606351,-77.0616234
824,4832890,AV. UNIVERSITARIA,1305702077,31080422,48057,164,0.1362104,70,0.0019459,1000000,-11.9606351,-77.0616234,-11.9613716,-77.0626121
825,4832890,AV. UNIVERSITARIA,31080422,273349943,164,165,0.016844,70,0.0002406,1000000,-11.9613716,-77.0626121,-11.9614215,-77.0627583
826,4832890,AV. UNIVERSITARIA,273349943,273928478,165,2788,0.0920888,70,0.0013156,1000000,-11.9614215,-77.0627583,-11.9616657,-77.0635647
827,4832890,AV. UNIVERSITARIA,273928478,1296147464,2788,47020,0.0439193,70,0.0006274,1000000,-11.9616657,-77.0635647,-11.9617025,-77.0639666
828,4832890,AV. UNIVERSITARIA,1296147464,1296147603,47020,47026,0.4013278,70,0.0057333,1000000,-11.9617025,-77.0639666,-11.9623243,-77.0676
829,4832890,AV. UNIVERSITARIA,1296147603,273350406,47026,2465,0.1539847,70,0.0021998,1000000,-11.9623243,-77.0676,-11.9625778,-77.0689905
830,4832890,AV. UNIVERSITARIA,273350406,273405235,2465,2479,0.1940214,70,0.0027717,1000000,-11.9625778,-77.0689905,-11.9630831,-77.0706857
831,4832890,AV. UNIVERSITARIA,273405235,273403746,2479,2472,0.1336391,70,0.0019091,1000000,-11.9630831,-77.0706857,-11.9636999,-77.0717401
832,4832890,AV. UNIVERSITARIA,273403746,273403602,2472,2470,0.0128451,70,0.0001835,1000000,-11.9636999,-77.0717401,-11.9637728,-77.0718317
833,4832890,AV. UNIVERSITARIA,273403602,273350286,2470,166,0.1287947,70,0.0018399,1000000,-11.9637728,-77.0718317,-11.9644884,-77.0727621
835,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,769214423,1359114268,112,16058,0.013588,60,0.0002265,1000000,-11.9912739,-77.0717535,-11.9913922,-77.0717222
836,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359114268,1359114945,16058,55164,0.2701064,60,0.0045018,1000000,-11.9913922,-77.0717222,-11.9937222,-77.0719004
837,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359114945,1359115176,55164,55397,0.3314675,60,0.0055245,1000000,-11.9937222,-77.0719004,-11.9946243,-77.0747125
838,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115176,1359115260,55397,55877,0.2472045,60,0.0041201,1000000,-11.9946243,-77.0747125,-11.9949537,-77.0769602
839,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115260,2477161994,55877,95885,0.0917074,60,0.0015285,1000000,-11.9949537,-77.0769602,-11.9950749,-77.0777942
840,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,2477161994,1359115335,95885,55007,0.239889,60,0.0039982,1000000,-11.9950749,-77.0777942,-11.9953892,-77.0799762
841,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115335,1359115356,55007,55329,0.0917774,60,0.0015296,1000000,-11.9953892,-77.0799762,-11.9955114,-77.0808107
842,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115356,1359115379,55329,55730,0.1145269,60,0.0019088,1000000,-11.9955114,-77.0808107,-11.9956562,-77.0818532
843,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115379,1359115395,55730,55830,0.052891,60,0.0008815,1000000,-11.9956562,-77.0818532,-11.9957261,-77.0823342
844,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115395,1359115429,55830,55872,0.0944584,60,0.0015743,1000000,-11.9957261,-77.0823342,-11.9958581,-77.0831921
845,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115429,1359115433,55872,55042,0.0249873,60,0.0004165,1000000,-11.9958581,-77.0831921,-11.9958872,-77.0834199
846,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115433,2477162037,55042,95920,0.0147907,60,0.0002465,1000000,-11.9958872,-77.0834199,-11.9959068,-77.0835544
847,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,2477162037,769214428,95920,12947,0.0368313,60,0.0006139,1000000,-11.9959068,-77.0835544,-11.9959558,-77.0838893
848,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,769214428,31044758,12947,183,0.0617879,60,0.0010298,1000000,-11.9959558,-77.0838893,-11.9960292,-77.0844524
849,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,31044758,31044893,183,8908,0.0278131,60,0.0004636,1000000,-11.9960292,-77.0844524,-11.9960728,-77.0847042
850,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,31044893,31044994,8908,12983,0.0711331,60,0.0011856,1000000,-11.9960728,-77.0847042,-11.9962336,-77.0853372
851,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,31044994,1359115496,12983,55375,0.0243075,60,0.0004051,1000000,-11.9962336,-77.0853372,-11.9962208,-77.0855603
852,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115496,2534611415,55375,96447,0.1047564,60,0.0017459,1000000,-11.9962208,-77.0855603,-11.9964404,-77.0864969
853,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,2534611415,1359115645,96447,55335,0.1101313,60,0.0018355,1000000,-11.9964404,-77.0864969,-11.9967484,-77.08745
854,4832968,AV. SANTIAGO ANTUNEZ DE MAYOLO,1359115645,1359115792,55335,107,0.0483412,60,0.0008057,1000000,-11.9967484,-77.08745,-11.9970685,-77.0876088
855,4832972,AV. TOMAS VALLE,31069560,1842440031,169,57676,0.0777005,70,0.00111,1000000,-12.0222867,-77.1057063,-12.0217377,-77.1053966
856,4832972,AV. TOMAS VALLE,1842440031,599289764,57676,10639,0.0688837,70,0.0009841,1000000,-12.0217377,-77.1053966,-12.0214682,-77.1048263
857,4832972,AV. TOMAS VALLE,599289764,31069688,10639,170,0.4166511,70,0.0059522,1000000,-12.0214682,-77.1048263,-12.0197945,-77.1013987
